run_id,sku,product_name,category,location,region,supplier,status,action,eta,incremental_cost,risk_score,confidence_score,projected_stockout_week,shortage_qty,excess_qty,rationale
RUN-BASELINE-001,CHOC-001,Chocolate Minis 52ct,Seasonal,DC-ATL,Southeast,SweetSource,at_risk,Expedite Open PO,2026-03-17,1800,0.21,0.93,2026-03-15,140,0,Shortage is inside two weeks and an open PO can arrive sooner than a new order.
RUN-BASELINE-001,BAR-002,Protein Bar Variety 24ct,Core,DC-CHI,Midwest,PeakFoods,at_risk,Transfer,2026-03-15,620,0.18,0.95,2026-03-22,90,0,Another DC has transferable surplus and can recover risk faster than supplier replenishment.
RUN-BASELINE-001,SNACK-003,Savory Crunch Mix 12ct,Regional,DC-LAX,West,CaliSnacks,at_risk,Alternate Supplier,2026-03-20,1540,0.28,0.88,2026-03-22,110,0,Primary supplier reliability dropped below policy threshold so alternate supply wins.
RUN-BASELINE-001,GUM-004,Mint Gum Multipack,Core,DC-NJ,Northeast,FreshMint,at_risk,Reorder,2026-03-26,740,0.24,0.91,2026-03-29,75,0,Standard reorder meets service target without expedite premium or transfer dependency.
RUN-BASELINE-001,CEREAL-005,Granola Crunch Family Pack,Bulk,STORE-DEN,Mountain,MorningMill,excess,Hold / Rebalance,2026-03-11,140,0.11,0.90,,0,220,Inventory is materially above demand horizon so suppress replenishment and consider rebalancing.
RUN-BASELINE-001,WATER-006,Electrolyte Water 6pk,Critical,DC-MIA,Southeast,HydraCo,no_safe_action,Escalate Exception,2026-03-30,0,0.76,0.67,2026-03-15,200,0,No supplier or transfer option can recover service in time so the planner must escalate allocation decisions.
RUN-BASELINE-001,MILK-001,2% Milk Gallon,Perishable-Dairy,STORE-DEN,Mountain,DAIRY-FRESH,at_risk,Expedite Open PO,2026-03-12,420,0.34,0.92,2026-03-14,160,0,Daily milk demand outpaces last delivery; expedite next dairy truck before shelf gap.
RUN-BASELINE-001,BUTTER-003,Salted Butter 1lb,Perishable-Dairy,DC-CHI,Midwest,DAIRY-FRESH,excess,Hold / Markdown,2026-03-15,90,0.12,0.88,,0,180,Post-baking-holiday demand drop left excess butter inventory; flag for markdown to clear before shelf life risk.
RUN-BASELINE-001,EGGS-005,Large Brown Eggs 12ct,Perishable,DC-NJ,Northeast,FARM-DIRECT,at_risk,Alternate Supplier,2026-03-18,1100,0.41,0.84,2026-03-19,260,0,Avian-flu disruption at primary farm cuts inbound eggs; activate alternate regional supplier to prevent stockout.
RUN-BASELINE-001,YOGURT-004,Greek Yogurt 32oz,Perishable-Dairy,DC-ATL,Southeast,YOGUR-CO,at_risk,Reorder,2026-03-20,360,0.18,0.94,2026-03-23,75,0,Standard weekly reorder cycle meets service level without expedite or transfer.
RUN-BASELINE-001,PS5-201,PlayStation 5 Console,Gaming,DC-LAX,West,SONY-DIST,at_risk,Allocation Pull,2026-04-02,4800,0.46,0.81,2026-03-30,40,0,Holiday demand spike outruns 14-day inbound; pull forward Q2 allocation to prevent flagship stockout.
RUN-BASELINE-001,XBOX-202,Xbox Series X Console,Gaming,DC-NJ,Northeast,MS-DIST,excess,Hold / Rebalance,2026-03-22,180,0.09,0.89,,0,55,Northeast over-stocked relative to West demand; rebalance to DC-LAX to support holiday lift.
RUN-BASELINE-001,PEN-101,Gel Pen 12-pack,Stationery,DC-CHI,Midwest,OFFICEMAX-CO,at_risk,Reorder,2026-04-08,210,0.08,0.96,2026-04-12,90,0,Stable back-to-school baseline demand; standard weekly reorder is sufficient.
RUN-BASELINE-001,STAP-103,Desktop Stapler,Stationery,DC-DAL,South,OFFICEMAX-CO,excess,Hold,2026-03-25,0,0.05,0.91,,0,140,Slow-moving hardware SKU in surplus; suppress replenishment until on-hand normalizes.
